url,http,title_len,desc_len,canonical,og_image,robots,schema_types,h1,imgs,imgs_no_alt,title
https://achologytest.com/about/code-of-ethics/,200,58,148,,yes,"nofollow, noindex","AboutPage,BreadcrumbList,ListItem",1,13,2,The Code Of Ethics For Practitioners Of Applied Psychology
https://achologytest.com/about/manifesto/,200,55,138,,yes,"nofollow, noindex","AboutPage,BreadcrumbList,ListItem",1,13,1,Achology Manifesto: The Standard Our Community Lives By
https://achologytest.com/about/instructors/jackson-hartley/,200,59,140,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Jackson P. Hartley | Course Questions Copywriter | Achology
https://achologytest.com/about/instructors/isabella-whitmore/,200,61,140,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Isabella S. Whitmore | TAYA Copywriting Specialist | Achology
https://achologytest.com/about/instructors/frederick-martin/,200,61,145,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Frederick S. Martín | Content Lead For Wise Quotes | Achology
https://achologytest.com/about/instructors/evelyn-montgomery/,200,58,147,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Evelyn Montgomery | Content Writer For Articles | Achology
https://achologytest.com/about/instructors/declan-fitzpatrick/,200,67,145,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Declan Fitzpatrick | Copywriter For Articles And Content | Achology
https://achologytest.com/about/instructors/charlotte-avery/,200,64,147,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Charlotte J. Avery | Research Copywriter For Articles | Achology
https://achologytest.com/about/instructors/benjamin-lockwood/,200,61,146,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Benjamin Lockwood | Lead For Book Research Content | Achology
https://achologytest.com/about/instructors/amelia-sinclair/,200,48,144,,yes,"nofollow, noindex","BreadcrumbList,ListItem,Organization,Person",1,11,0,Amelia A. Sinclair | Editor-in-Chief At Achology
